iqm,decision_brainonly,raison,n_finite,n_total,n_unique_finite
summary_bg_median,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
summary_bg_n,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,12
summary_bg_p05,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
summary_bg_p95,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
summary_bg_stdv,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
summary_csf_k,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_csf_mad,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_csf_mean,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_csf_median,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_csf_n,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_csf_p05,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,1
summary_csf_p95,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_csf_stdv,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_gm_k,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_gm_mad,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_gm_mean,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_gm_median,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_gm_n,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_gm_p05,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_gm_p95,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_gm_stdv,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_wm_k,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_wm_mad,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_wm_mean,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_wm_median,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_wm_n,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_wm_p05,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_wm_p95,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
summary_wm_stdv,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
tpm_overlap_csf,secondaire_segmentation,dépend de la segmentation MRIQC ; ne remplace pas FreeSurfer,12,12,12
tpm_overlap_gm,secondaire_segmentation,dépend de la segmentation MRIQC ; ne remplace pas FreeSurfer,12,12,12
tpm_overlap_wm,secondaire_segmentation,dépend de la segmentation MRIQC ; ne remplace pas FreeSurfer,12,12,12
wm2max,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
