sub,t1w_path,motion,stratum
sub-10_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-10_run-03/sub-10_run-03_brain.nii.gz,0.0,ds004332
sub-11_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-11_run-01/sub-11_run-01_brain.nii.gz,0.0,ds004332
sub-11_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-11_run-02/sub-11_run-02_brain.nii.gz,0.0,ds004332
sub-11_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-11_run-03/sub-11_run-03_brain.nii.gz,0.0,ds004332
sub-12_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-12_run-01/sub-12_run-01_brain.nii.gz,0.0,ds004332
sub-12_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-12_run-02/sub-12_run-02_brain.nii.gz,0.0,ds004332
sub-12_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-12_run-03/sub-12_run-03_brain.nii.gz,0.0,ds004332
sub-13_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-13_run-01/sub-13_run-01_brain.nii.gz,0.0,ds004332
sub-13_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-13_run-02/sub-13_run-02_brain.nii.gz,0.0,ds004332
sub-13_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-13_run-03/sub-13_run-03_brain.nii.gz,0.0,ds004332
sub-14_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-14_run-01/sub-14_run-01_brain.nii.gz,0.0,ds004332
sub-14_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-14_run-02/sub-14_run-02_brain.nii.gz,0.0,ds004332
sub-14_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-14_run-03/sub-14_run-03_brain.nii.gz,0.0,ds004332
sub-15_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-15_run-01/sub-15_run-01_brain.nii.gz,0.0,ds004332
sub-15_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-15_run-02/sub-15_run-02_brain.nii.gz,0.0,ds004332
sub-15_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-15_run-03/sub-15_run-03_brain.nii.gz,0.0,ds004332
sub-16_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-16_run-01/sub-16_run-01_brain.nii.gz,0.0,ds004332
sub-16_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-16_run-02/sub-16_run-02_brain.nii.gz,0.0,ds004332
sub-16_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-16_run-03/sub-16_run-03_brain.nii.gz,0.0,ds004332
sub-17_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-17_run-01/sub-17_run-01_brain.nii.gz,0.0,ds004332
sub-17_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-17_run-02/sub-17_run-02_brain.nii.gz,0.0,ds004332
sub-17_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-17_run-03/sub-17_run-03_brain.nii.gz,0.0,ds004332
sub-18_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-18_run-01/sub-18_run-01_brain.nii.gz,0.0,ds004332
sub-18_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-18_run-02/sub-18_run-02_brain.nii.gz,0.0,ds004332
sub-18_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-18_run-03/sub-18_run-03_brain.nii.gz,0.0,ds004332
sub-19_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-19_run-01/sub-19_run-01_brain.nii.gz,0.0,ds004332
sub-19_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-19_run-02/sub-19_run-02_brain.nii.gz,0.0,ds004332
sub-19_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-19_run-03/sub-19_run-03_brain.nii.gz,0.0,ds004332
sub-20_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-20_run-01/sub-20_run-01_brain.nii.gz,0.0,ds004332
sub-20_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-20_run-02/sub-20_run-02_brain.nii.gz,0.0,ds004332
sub-20_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-20_run-03/sub-20_run-03_brain.nii.gz,0.0,ds004332
sub-21_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-21_run-01/sub-21_run-01_brain.nii.gz,0.0,ds004332
sub-21_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-21_run-02/sub-21_run-02_brain.nii.gz,0.0,ds004332
sub-21_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-21_run-03/sub-21_run-03_brain.nii.gz,0.0,ds004332
sub-22_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-22_run-01/sub-22_run-01_brain.nii.gz,0.0,ds004332
sub-22_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-22_run-02/sub-22_run-02_brain.nii.gz,0.0,ds004332
sub-22_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-22_run-03/sub-22_run-03_brain.nii.gz,0.0,ds004332
